# lambda  U  m_neel_xy  mx_A  my_A  mz_A  mx_B  my_B  mz_B  converged
0.0000  4.000000  0.46218108  0.020694  0.230162  -0.243699  -0.020694  -0.230162  0.243699  true
0.0000  3.789474  0.43879811  0.019647  0.218518  -0.231370  -0.019647  -0.218518  0.231370  true
0.0000  3.578947  0.41144742  0.018422  0.204897  -0.216948  -0.018422  -0.204897  0.216948  true
0.0000  3.368421  0.37908243  0.016973  0.188780  -0.199883  -0.016973  -0.188780  0.199883  true
0.0000  3.157895  0.34023248  0.015234  0.169433  -0.179398  -0.015234  -0.169433  0.179398  true
0.0000  2.947368  0.29274744  0.013108  0.145786  -0.154360  -0.013108  -0.145786  0.154360  true
0.0000  2.736842  0.23332577  0.010447  0.116194  -0.123028  -0.010447  -0.116194  0.123028  true
0.0000  2.526316  0.15657664  0.007011  0.077974  -0.082560  -0.007011  -0.077974  0.082560  true
0.0000  2.315789  0.05297502  0.002372  0.026381  -0.027933  -0.002372  -0.026381  0.027933  true
0.0000  2.105263  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  1.894737  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  1.684211  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  1.473684  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  1.263158  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  1.052632  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  0.842105  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  0.631579  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  0.421053  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  0.210526  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.0000  0.000000  0.00000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  true
0.2000  5.000000  0.74720960  0.117633  0.354603  0.000000  -0.117633  -0.354603  -0.000000  true
0.2000  4.736842  0.71785892  0.113012  0.340674  0.000000  -0.113012  -0.340674  -0.000000  true
0.2000  4.473684  0.68262186  0.107465  0.323951  0.000000  -0.107465  -0.323951  -0.000000  true
0.2000  4.210526  0.63951609  0.100679  0.303495  0.000000  -0.100679  -0.303495  -0.000000  true
0.2000  3.947368  0.58541594  0.092162  0.277820  0.000000  -0.092162  -0.277820  -0.000000  true
0.2000  3.684211  0.51482726  0.081049  0.244321  0.000000  -0.081049  -0.244321  -0.000000  true
0.2000  3.421053  0.41616631  0.065517  0.197500  0.000000  -0.065517  -0.197500  -0.000000  true
0.2000  3.157895  0.25175894  0.039634  0.119477  0.000000  -0.039634  -0.119477  -0.000000  true
0.2000  2.894737  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
0.2000  2.631579  0.00000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  -0.000000  true
