# U  arc  E1  E2  E3  E4
0.0000  0.000000  -3.00000000  -3.00000000  3.00000000  3.00000000
0.0000  0.035200  -2.99969025  -2.99969025  2.99969025  2.99969025
0.0000  0.070400  -2.99876109  -2.99876109  2.99876109  2.99876109
0.0000  0.105600  -2.99721282  -2.99721282  2.99721282  2.99721282
0.0000  0.140800  -2.99504591  -2.99504591  2.99504591  2.99504591
0.0000  0.176000  -2.99226103  -2.99226103  2.99226103  2.99226103
0.0000  0.211200  -2.98885905  -2.98885905  2.98885905  2.98885905
0.0000  0.246399  -2.98484102  -2.98484102  2.98484102  2.98484102
0.0000  0.281599  -2.98020818  -2.98020818  2.98020818  2.98020818
0.0000  0.316799  -2.97496197  -2.97496197  2.97496197  2.97496197
0.0000  0.351999  -2.96910402  -2.96910402  2.96910402  2.96910402
0.0000  0.387199  -2.96263614  -2.96263614  2.96263614  2.96263614
0.0000  0.422399  -2.95556032  -2.95556032  2.95556032  2.95556032
0.0000  0.457599  -2.94787878  -2.94787878  2.94787878  2.94787878
0.0000  0.492799  -2.93959387  -2.93959387  2.93959387  2.93959387
0.0000  0.527999  -2.93070818  -2.93070818  2.93070818  2.93070818
0.0000  0.563199  -2.92122444  -2.92122444  2.92122444  2.92122444
0.0000  0.598399  -2.91114561  -2.91114561  2.91114561  2.91114561
0.0000  0.633599  -2.90047480  -2.90047480  2.90047480  2.90047480
0.0000  0.668798  -2.88921532  -2.88921532  2.88921532  2.88921532
0.0000  0.703998  -2.87737065  -2.87737065  2.87737065  2.87737065
0.0000  0.739198  -2.86494446  -2.86494446  2.86494446  2.86494446
0.0000  0.774398  -2.85194060  -2.85194060  2.85194060  2.85194060
0.0000  0.809598  -2.83836311  -2.83836311  2.83836311  2.83836311
0.0000  0.844798  -2.82421618  -2.82421618  2.82421618  2.82421618
0.0000  0.879998  -2.80950420  -2.80950420  2.80950420  2.80950420
0.0000  0.915198  -2.79423173  -2.79423173  2.79423173  2.79423173
0.0000  0.950398  -2.77840349  -2.77840349  2.77840349  2.77840349
0.0000  0.985598  -2.76202439  -2.76202439  2.76202439  2.76202439
0.0000  1.020798  -2.74509950  -2.74509950  2.74509950  2.74509950
0.0000  1.055998  -2.72763407  -2.72763407  2.72763407  2.72763407
0.0000  1.091197  -2.70963350  -2.70963350  2.70963350  2.70963350
0.0000  1.126397  -2.69110337  -2.69110337  2.69110337  2.69110337
0.0000  1.161597  -2.67204942  -2.67204942  2.67204942  2.67204942
0.0000  1.196797  -2.65247755  -2.65247755  2.65247755  2.65247755
0.0000  1.231997  -2.63239382  -2.63239382  2.63239382  2.63239382
0.0000  1.267197  -2.61180447  -2.61180447  2.61180447  2.61180447
0.0000  1.302397  -2.59071585  -2.59071585  2.59071585  2.59071585
0.0000  1.337597  -2.56913451  -2.56913451  2.56913451  2.56913451
0.0000  1.372797  -2.54706713  -2.54706713  2.54706713  2.54706713
0.0000  1.407997  -2.52452054  -2.52452054  2.52452054  2.52452054
0.0000  1.443197  -2.50150173  -2.50150173  2.50150173  2.50150173
0.0000  1.478397  -2.47801783  -2.47801783  2.47801783  2.47801783
0.0000  1.513596  -2.45407612  -2.45407612  2.45407612  2.45407612
0.0000  1.548796  -2.42968400  -2.42968400  2.42968400  2.42968400
0.0000  1.583996  -2.40484904  -2.40484904  2.40484904  2.40484904
0.0000  1.619196  -2.37957893  -2.37957893  2.37957893  2.37957893
0.0000  1.654396  -2.35388149  -2.35388149  2.35388149  2.35388149
0.0000  1.689596  -2.32776468  -2.32776468  2.32776468  2.32776468
0.0000  1.724796  -2.30123660  -2.30123660  2.30123660  2.30123660
0.0000  1.759996  -2.27430546  -2.27430546  2.27430546  2.27430546
0.0000  1.795196  -2.24697960  -2.24697960  2.24697960  2.24697960
0.0000  1.830396  -2.21926749  -2.21926749  2.21926749  2.21926749
0.0000  1.865596  -2.19117772  -2.19117772  2.19117772  2.19117772
0.0000  1.900796  -2.16271897  -2.16271897  2.16271897  2.16271897
0.0000  1.935995  -2.13390007  -2.13390007  2.13390007  2.13390007
0.0000  1.971195  -2.10472995  -2.10472995  2.10472995  2.10472995
0.0000  2.006395  -2.07521763  -2.07521763  2.07521763  2.07521763
0.0000  2.041595  -2.04537226  -2.04537226  2.04537226  2.04537226
0.0000  2.076795  -2.01520310  -2.01520310  2.01520310  2.01520310
0.0000  2.111995  -1.98471947  -1.98471947  1.98471947  1.98471947
0.0000  2.147195  -1.95393082  -1.95393082  1.95393082  1.95393082
0.0000  2.182395  -1.92284669  -1.92284669  1.92284669  1.92284669
0.0000  2.217595  -1.89147671  -1.89147671  1.89147671  1.89147671
0.0000  2.252795  -1.85983060  -1.85983060  1.85983060  1.85983060
0.0000  2.287995  -1.82791815  -1.82791815  1.82791815  1.82791815
0.0000  2.323195  -1.79574925  -1.79574925  1.79574925  1.79574925
0.0000  2.358394  -1.76333387  -1.76333387  1.76333387  1.76333387
0.0000  2.393594  -1.73068205  -1.73068205  1.73068205  1.73068205
0.0000  2.428794  -1.69780390  -1.69780390  1.69780390  1.69780390
0.0000  2.463994  -1.66470960  -1.66470960  1.66470960  1.66470960
0.0000  2.499194  -1.63140941  -1.63140941  1.63140941  1.63140941
0.0000  2.534394  -1.59791364  -1.59791364  1.59791364  1.59791364
0.0000  2.569594  -1.56423266  -1.56423266  1.56423266  1.56423266
0.0000  2.604794  -1.53037691  -1.53037691  1.53037691  1.53037691
0.0000  2.639994  -1.49635688  -1.49635688  1.49635688  1.49635688
0.0000  2.675194  -1.46218311  -1.46218311  1.46218311  1.46218311
0.0000  2.710394  -1.42786617  -1.42786617  1.42786617  1.42786617
0.0000  2.745594  -1.39341670  -1.39341670  1.39341670  1.39341670
0.0000  2.780793  -1.35884536  -1.35884536  1.35884536  1.35884536
0.0000  2.815993  -1.32416288  -1.32416288  1.32416288  1.32416288
0.0000  2.851193  -1.28937998  -1.28937998  1.28937998  1.28937998
0.0000  2.886393  -1.25450745  -1.25450745  1.25450745  1.25450745
0.0000  2.921593  -1.21955609  -1.21955609  1.21955609  1.21955609
