# U  m_neel  mx_A  my_A  mz_A  mx_B  my_B  mz_B  converged
0.0000  0.00000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  true
0.1000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.2000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.3000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.4000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.5000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.6000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.7000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.8000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
0.9000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.0000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.1000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.2000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.3000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.4000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.5000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.6000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.7000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.8000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
1.9000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
2.0000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
2.1000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
2.2000  0.00000000  0.000000  0.000000  -0.000000  -0.000000  -0.000000  0.000000  true
2.3000  0.03174965  -0.013899  -0.028544  0.000339  0.013899  0.028544  -0.000339  true
2.4000  0.07159870  -0.031344  -0.064369  0.000765  0.031344  0.064369  -0.000765  true
2.5000  0.10562539  -0.046240  -0.094960  0.001128  0.046240  0.094960  -0.001128  true
2.6000  0.13507211  -0.059131  -0.121433  0.001443  0.059131  0.121433  -0.001443  true
2.7000  0.16084081  -0.070412  -0.144599  0.001718  0.070412  0.144599  -0.001718  true
2.8000  0.18360434  -0.080377  -0.165064  0.001961  0.080377  0.165064  -0.001961  true
2.9000  0.20387552  -0.089251  -0.183289  0.002178  0.089251  0.183289  -0.002178  true
3.0000  0.22205258  -0.097209  -0.199630  0.002372  0.097209  0.199630  -0.002372  true
3.1000  0.23845000  -0.104387  -0.214372  0.002547  0.104387  0.214372  -0.002547  true
3.2000  0.25331980  -0.110897  -0.227740  0.002706  0.110897  0.227740  -0.002706  true
3.3000  0.26686671  -0.116827  -0.239919  0.002851  0.116827  0.239919  -0.002851  true
3.4000  0.27925902  -0.122252  -0.251060  0.002983  0.122252  0.251060  -0.002983  true
3.5000  0.29063643  -0.127233  -0.261288  0.003105  0.127233  0.261288  -0.003105  true
3.6000  0.30111640  -0.131821  -0.270710  0.003217  0.131821  0.270710  -0.003217  true
3.7000  0.31079823  -0.136059  -0.279414  0.003320  0.136059  0.279414  -0.003320  true
3.8000  0.31976669  -0.139985  -0.287477  0.003416  0.139985  0.287477  -0.003416  true
3.9000  0.32809468  -0.143631  -0.294964  0.003505  0.143631  0.294964  -0.003505  true
4.0000  0.33584528  -0.147024  -0.301932  0.003588  0.147024  0.301932  -0.003588  true
